Country_KR,Country,Country_Code,Series_Code,Indicator_Name,Signal_KR,Latest_Year,Latest_Value,WDI_Coverage_2019_2025,Score_Direction,Need_Weight,Latest_Value_Display
르완다,Rwanda,RWA,IT.NET.USER.ZS,Internet users,디지털접근,2024.0,31.70330048,6,lower_is_higher_need,0.15,31.7%
르완다,Rwanda,RWA,SL.UEM.TOTL.ZS,Unemployment,고용,2025.0,11.363,7,higher_is_higher_need,0.05,11.4%
르완다,Rwanda,RWA,SP.URB.TOTL.IN.ZS,Urban population,도시화,2025.0,30.9133840928162,7,context,0.0,30.9%
르완다,Rwanda,RWA,SP.POP.TOTL,Population,인구규모,2025.0,14569341.0,7,context,0.0,14.6M
르완다,Rwanda,RWA,EN.GHG.CO2.PC.CE.AR5,CO2 per capita,탄소배출,2024.0,0.162128792997641,6,context,0.0,0.16 tCO2e/cap
에티오피아,Ethiopia,ETH,NY.GDP.PCAP.CD,GDP per capita,소득수준,2025.0,932.729352775179,7,lower_is_higher_need,0.25,$933
에티오피아,Ethiopia,ETH,SI.POV.DDAY,Poverty rate,빈곤,2021.0,38.6,1,higher_is_higher_need,0.15,38.6%
에티오피아,Ethiopia,ETH,SP.DYN.LE00.IN,Life expectancy,보건·생활여건,2024.0,67.603,6,lower_is_higher_need,0.1,67.6 years
에티오피아,Ethiopia,ETH,SE.SEC.ENRR,Secondary enrollment,교육,,,0,lower_is_higher_need,0.15,N/A
에티오피아,Ethiopia,ETH,EG.ELC.ACCS.ZS,Access to electricity,전력접근,2023.0,55.4,5,lower_is_higher_need,0.15,55.4%
에티오피아,Ethiopia,ETH,IT.NET.USER.ZS,Internet users,디지털접근,2024.0,21.94129944,6,lower_is_higher_need,0.15,21.9%
에티오피아,Ethiopia,ETH,SL.UEM.TOTL.ZS,Unemployment,고용,2025.0,3.323,7,higher_is_higher_need,0.05,3.3%
에티오피아,Ethiopia,ETH,SP.URB.TOTL.IN.ZS,Urban population,도시화,2025.0,24.1096952088946,7,context,0.0,24.1%
에티오피아,Ethiopia,ETH,SP.POP.TOTL,Population,인구규모,2025.0,135472051.0,7,context,0.0,135.5M
에티오피아,Ethiopia,ETH,EN.GHG.CO2.PC.CE.AR5,CO2 per capita,탄소배출,2024.0,0.146636636122491,6,context,0.0,0.15 tCO2e/cap
네팔,Nepal,NPL,NY.GDP.PCAP.CD,GDP per capita,소득수준,2025.0,1535.87781246307,7,lower_is_higher_need,0.25,"$1,536"
네팔,Nepal,NPL,SI.POV.DDAY,Poverty rate,빈곤,2022.0,2.4,1,higher_is_higher_need,0.15,2.4%
네팔,Nepal,NPL,SP.DYN.LE00.IN,Life expectancy,보건·생활여건,2024.0,70.636,6,lower_is_higher_need,0.1,70.6 years
네팔,Nepal,NPL,SE.SEC.ENRR,Secondary enrollment,교육,2024.0,90.3878462155916,6,lower_is_higher_need,0.15,90.4%
네팔,Nepal,NPL,EG.ELC.ACCS.ZS,Access to electricity,전력접근,2023.0,94.0,5,lower_is_higher_need,0.15,94.0%
네팔,Nepal,NPL,IT.NET.USER.ZS,Internet users,디지털접근,2024.0,46.32189941,6,lower_is_higher_need,0.15,46.3%
