Country_KR,Year,Project_Count,Commitment_Raw,Disbursement_Raw
잠비아,2019,2,20425.0,20425.0
잠비아,2020,2,32245.0,32481.0
잠비아,2021,2,7236.0,7359.0
잠비아,2022,1,6677.0,5842.0
잠비아,2023,2,294631.0,294631.0
잠비아,2024,1,0.01,0.01
적도기니,2019,1,94397.0,94397.0
적도기니,2020,1,28209.0,28445.0
적도기니,2021,2,198662.0,198785.0
적도기니,2022,1,6677.0,5842.0
적도기니,2023,2,607157.0,607157.0
적도기니,2024,2,0.7,0.48
조지아,2019,2,55996.0,55996.0
조지아,2020,3,259592.0,259828.0
조지아,2021,2,33010.0,34901.0
조지아,2022,5,296447.0,292111.0
조지아,2023,2,13038.0,13038.0
조지아,2024,2,0.02,0.02
중국,2019,2,99925.0,94867.0
중국,2020,0,0.0,0.0
중국,2021,0,0.0,0.0
중국,2022,0,0.0,0.0
중국,2023,0,0.0,0.0
중국,2024,0,0.0,0.0
중동 지역 (미배분),2019,1,1511504.0,1511504.0
중동 지역 (미배분),2020,2,780908.0,780908.0
중동 지역 (미배분),2021,1,773365.0,773365.0
중동 지역 (미배분),2022,1,980949.0,980949.0
중동 지역 (미배분),2023,1,1092310.0,1092310.0
중동 지역 (미배분),2024,1,1.26,1.26
중앙아시아 지역 (미배분),2019,1,1511504.0,1511504.0
중앙아시아 지역 (미배분),2020,1,679933.0,679933.0
중앙아시아 지역 (미배분),2021,1,773365.0,773365.0
중앙아시아 지역 (미배분),2022,1,980949.0,980949.0
중앙아시아 지역 (미배분),2023,1,1092310.0,1092310.0
중앙아시아 지역 (미배분),2024,1,1.26,1.26
중앙아프리카공화국,2019,0,0.0,0.0
중앙아프리카공화국,2020,0,0.0,0.0
중앙아프리카공화국,2021,0,0.0,0.0
중앙아프리카공화국,2022,1,234033.0,234033.0
중앙아프리카공화국,2023,5,892148.0,892148.0
중앙아프리카공화국,2024,1,0.25,0.25
지부티,2019,1,136704.0,136704.0
지부티,2020,0,0.0,0.0
지부티,2021,1,199415.0,199415.0
지부티,2022,0,0.0,0.0
지부티,2023,1,112787.0,112787.0
지부티,2024,2,0.29,0.29
짐바브웨,2019,14,224149.0,212059.0
짐바브웨,2020,12,63195.0,63725.0
짐바브웨,2021,15,316142.0,334247.0
짐바브웨,2022,15,206746.0,180902.0
짐바브웨,2023,22,594952.0,499192.0
짐바브웨,2024,21,0.23,0.32
차드,2019,0,0.0,0.0
차드,2020,0,0.0,0.0
차드,2021,0,0.0,0.0
차드,2022,0,0.0,0.0
차드,2023,4,681285.0,681285.0
차드,2024,1,0.02,0.02
카메룬,2019,72,11596046.0,8772484.0
카메룬,2020,55,7014651.0,3788749.0
카메룬,2021,48,2190017.0,6123390.0
